 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
1758;-19;41;1027;-42;23;980;793;-671;-366;
1764;-17;42;1027;-42;23;980;793;-671;-366;
1770;-17;39;1031;-43;24;978;915;-610;-305;
1776;-11;42;1031;-43;24;978;915;-610;-305;
1782;-11;39;1031;-42;24;977;915;-610;-305;
1788;-15;39;1031;-41;24;980;854;-671;-305;
1794;-15;41;1029;-41;23;980;854;-732;-366;
1800;-17;41;1025;-43;24;981;915;-732;-305;
1806;-15;37;1029;-42;24;980;854;-671;-366;
1812;-11;39;1031;-42;24;980;854;-671;-366;
1818;-15;42;1027;-42;24;980;854;-671;-366;
1824;-11;44;1027;-42;24;980;854;-671;-366;
1830;-13;46;1027;-42;24;979;854;-671;-366;
1836;-11;41;1031;-42;24;979;793;-732;-366;
1842;-13;41;1025;-43;23;979;793;-732;-366;
1848;-11;39;1027;-41;24;980;854;-671;-366;
1854;-13;42;1029;-41;24;978;915;-671;-305;
1860;-21;44;1031;-41;24;978;915;-671;-305;
1866;-15;48;1029;-41;24;978;915;-671;-305;
1872;-11;42;1033;-42;23;979;915;-732;-305;
1878;-15;39;1027;-41;24;979;915;-671;-305;
1884;-15;44;1023;-41;24;979;915;-671;-305;
1890;-19;44;1023;-42;24;979;854;-671;-366;
1896;-11;37;1029;-42;24;979;854;-671;-366;
1902;-7;39;1033;-40;24;982;793;-732;-305;
1908;-13;42;1027;-41;24;979;915;-671;-305;
1914;-21;41;1025;-43;23;976;854;-671;-305;
1920;-15;42;1029;-43;23;976;854;-671;-305;
1926;-9;41;1027;-43;23;976;854;-671;-305;
1932;-15;42;1031;-43;24;978;854;-671;-305;
1938;-19;39;1025;-43;23;979;915;-671;-366;
1944;-17;46;1027;-43;23;979;915;-671;-366;
1950;-19;42;1029;-43;24;979;976;-610;-366;
1956;-11;44;1025;-43;24;979;976;-610;-366;
1962;-11;39;1027;-40;24;979;915;-671;-366;
1968;-19;42;1029;-41;25;978;854;-671;-305;
1974;-15;39;1029;-44;23;980;915;-793;-305;
1980;-15;39;1029;-44;23;980;915;-793;-305;
1986;-7;39;1029;-44;23;980;915;-793;-305;
1992;-27;41;1023;-42;22;980;915;-732;-366;
1998;-13;39;1029;-42;23;978;976;-671;-366;
2004;-15;42;1031;-42;23;978;976;-671;-366;
2010;-19;41;1029;-42;23;981;854;-610;-305;
2016;-15;41;1033;-42;23;981;854;-610;-305;
2022;-15;42;1021;-41;24;981;854;-671;-305;
2028;-17;41;1025;-42;24;980;854;-671;-305;
2034;-7;41;1029;-42;23;981;854;-732;-305;
2040;-13;46;1029;-42;23;981;854;-732;-305;
2046;-15;39;1025;-42;23;981;854;-732;-305;
2052;-11;41;1031;-42;23;982;915;-732;-366;
2058;-13;46;1023;-42;22;978;915;-671;-305;
2064;-9;39;1027;-42;22;978;915;-671;-305;
2070;-13;46;1033;-40;25;981;976;-732;-244;
2076;-11;41;1033;-40;25;981;976;-732;-244;
2082;-15;41;1025;-41;25;980;976;-671;-366;
2088;-15;46;1027;-42;24;980;854;-732;-366;
2094;-13;41;1031;-44;23;977;976;-732;-305;
2100;-17;41;1031;-44;23;977;976;-732;-305;
2106;-17;39;1027;-44;23;977;976;-732;-305;
2112;-17;44;1027;-44;23;979;915;-732;-366;
2118;-13;42;1029;-43;24;979;915;-732;-366;
2124;-17;44;1025;-43;24;979;915;-732;-366;
2130;-13;46;1027;-43;25;979;915;-671;-305;
2136;-11;41;1031;-43;25;979;915;-671;-305;
2142;-17;39;1027;-41;25;977;854;-671;-305;
2148;-11;39;1029;-42;23;977;854;-671;-244;
2154;-15;39;1025;-41;23;979;854;-671;-305;
2160;-17;42;1033;-41;23;979;854;-671;-305;
2166;-11;41;1027;-41;23;979;854;-671;-305;
2172;-13;41;1031;-43;23;980;793;-610;-427;
2178;-21;39;1029;-43;24;979;915;-671;-366;
2184;-7;41;1023;-43;24;979;915;-671;-366;
2190;-11;41;1027;-43;24;979;915;-671;-244;
2196;-11;44;1025;-43;24;979;915;-671;-244;
2202;-21;41;1027;-44;23;978;854;-610;-305;
2208;-17;39;1027;-43;23;980;915;-732;-366;
2214;-15;37;1027;-42;23;981;915;-732;-305;
2220;-13;41;1029;-42;23;981;915;-732;-305;
2226;-9;42;1035;-42;23;981;915;-732;-305;
2232;-9;41;1031;-42;23;981;976;-671;-244;
2238;-11;42;1033;-43;25;981;854;-732;-305;
2244;-13;41;1031;-43;25;981;854;-732;-305;
2250;-11;42;1029;-39;24;981;854;-671;-366;
2256;-17;37;1029;-39;24;981;854;-671;-366;
2262;-15;44;1031;-41;24;975;915;-671;-305;
2268;-11;41;1027;-44;24;978;854;-793;-366;
2274;-17;39;1029;-43;25;979;854;-793;-244;
2280;-15;37;1031;-42;26;977;793;-671;-305;
2286;-13;42;1037;-41;25;979;854;-671;-366;
2292;-17;41;1025;-41;25;979;854;-671;-366;
2298;-13;41;1027;-41;25;979;854;-671;-366;
2304;-9;42;1029;-43;24;978;854;-671;-366;
2310;-17;44;1021;-43;24;978;854;-671;-366;
2316;-17;39;1021;-43;24;978;854;-671;-366;
2322;-17;42;1031;-44;25;978;915;-671;-366;
2328;-11;39;1029;-42;25;980;976;-671;-366;
2334;-9;41;1031;-43;23;979;976;-671;-366;
2340;-11;41;1031;-43;23;979;976;-671;-366;
2346;-17;42;1031;-44;23;980;854;-610;-305;
2352;-13;42;1031;-44;23;980;854;-610;-305;
2358;-7;39;1027;-42;24;978;793;-671;-305;
2364;-9;41;1029;-42;24;978;793;-671;-305;
2370;-15;37;1031;-41;23;979;854;-610;-305;
2376;-17;44;1027;-41;23;979;854;-610;-305;
2382;-15;35;1033;-41;23;979;915;-732;-366;
2388;-11;41;1029;-41;22;979;854;-671;-366;
2394;-19;41;1029;-42;23;978;1037;-610;-305;
2400;-11;41;1027;-42;23;978;1037;-610;-305;
2406;-15;37;1027;-42;23;978;1037;-610;-305;
2412;-9;41;1027;-42;25;977;854;-610;-305;
2418;-13;42;1031;-43;24;981;793;-671;-305;
2424;-13;39;1033;-43;24;981;793;-671;-305;
2430;-15;42;1029;-45;24;979;915;-732;-305;
2436;-13;39;1033;-45;24;979;915;-732;-305;
2442;-13;41;1033;-42;23;980;976;-732;-305;
2448;-13;42;1025;-42;23;979;915;-732;-305;
2454;-15;46;1029;-43;25;978;976;-732;-305;
2460;-19;42;1031;-43;25;978;976;-732;-305;
2466;-15;42;1025;-43;25;978;976;-732;-305;
2472;-11;37;1023;-40;22;979;915;-732;-427;
2478;-11;41;1031;-42;23;981;854;-671;-366;
2484;-5;46;1029;-42;23;981;854;-671;-366;
2490;-15;44;1033;-42;24;981;854;-671;-366;
2496;-15;42;1029;-42;24;981;854;-671;-366;
2502;-15;39;1035;-41;25;977;915;-671;-305;
2508;-15;42;1031;-42;23;980;915;-732;-305;
2514;-11;41;1027;-43;24;976;854;-671;-366;
2520;-13;39;1029;-43;24;976;854;-671;-366;
2526;-15;39;1031;-43;24;976;854;-671;-366;
2532;-17;41;1025;-42;25;978;854;-732;-305;
2538;-13;42;1029;-43;24;978;793;-671;-244;
2544;-15;48;1025;-43;24;978;793;-671;-244;
2550;-15;39;1035;-42;24;980;793;-610;-366;
2556;-11;39;1029;-42;24;980;793;-610;-366;
2562;-17;41;1027;-44;25;978;854;-610;-366;
2568;-13;41;1035;-44;23;978;854;-610;-366;
2574;-13;37;1031;-43;23;978;854;-671;-244;
2580;-13;44;1029;-43;23;978;854;-671;-244;
2586;-13;39;1029;-43;23;978;854;-671;-244;
2592;-13;41;1031;-41;24;980;854;-671;-305;
2598;-13;42;1027;-43;24;980;915;-732;-366;
2604;-11;41;1029;-43;24;980;915;-732;-366;
2610;-11;42;1029;-42;25;979;976;-732;-305;
2616;-19;41;1029;-42;25;979;976;-732;-305;
2622;-15;39;1027;-43;25;979;915;-671;-244;
2628;-21;42;1033;-40;23;976;854;-732;-366;
2634;-11;39;1033;-40;23;976;854;-671;-366;
2640;-15;42;1025;-41;23;978;854;-671;-366;
2646;-11;46;1027;-41;23;978;854;-671;-366;
2652;-9;41;1029;-41;23;978;976;-793;-427;
2658;-11;46;1027;-42;23;979;915;-671;-427;
2664;-13;39;1025;-42;23;979;915;-671;-427;
2670;-13;41;1031;-40;23;980;915;-610;-305;
2676;-19;41;1027;-40;23;980;915;-610;-305;
2682;-15;41;1027;-42;23;978;854;-610;-305;
2688;-17;41;1027;-42;23;979;854;-732;-366;
2694;-17;44;1027;-42;23;979;854;-671;-366;
2700;-17;39;1029;-42;24;980;854;-671;-366;
2706;-15;44;1031;-42;24;980;854;-671;-366;
2712;-21;39;1029;-43;24;980;854;-732;-366;
2718;-21;41;1027;-42;24;980;854;-732;-366;
2724;-15;41;1027;-42;24;980;854;-732;-366;
2730;-17;44;1033;-40;24;978;915;-610;-366;
2736;-17;44;1027;-40;24;978;915;-610;-366;
2742;-21;39;1029;-42;23;978;915;-671;-366;
2748;-15;39;1027;-42;24;979;915;-732;-305;
2754;-13;39;1031;-42;24;979;915;-793;-244;
2760;-9;41;1029;-41;24;978;915;-793;-244;
2766;-21;42;1027;-41;24;978;915;-793;-244;
2772;-17;41;1027;-42;23;979;915;-671;-305;
2778;-13;42;1027;-43;25;980;854;-610;-366;
2784;-15;41;1033;-43;25;980;854;-610;-366;
2790;-21;46;1033;-42;26;982;854;-732;-366;
2796;-17;44;1027;-42;26;982;854;-732;-366;
2802;-11;42;1031;-44;23;981;854;-671;-366;
2808;-17;37;1031;-41;24;982;854;-671;-366;
2814;-13;41;1029;-41;24;982;854;-671;-366;
2820;-19;39;1031;-43;25;978;915;-732;-305;
2826;-19;39;1029;-43;25;978;976;-671;-305;
2832;-15;39;1031;-43;25;978;976;-671;-305;
2838;-17;39;1025;-43;25;978;976;-671;-305;
2844;-17;41;1025;-43;25;978;976;-671;-305;
2850;-15;48;1027;-41;24;979;915;-671;-305;
2856;-15;42;1025;-41;24;979;915;-671;-305;
2862;-19;46;1027;-41;26;978;915;-671;-366;
2868;-9;37;1025;-40;23;981;854;-671;-366;
2874;-19;39;1029;-40;23;981;854;-671;-366;
2880;-15;41;1029;-43;24;979;854;-671;-366;
2886;-15;44;1027;-43;24;979;854;-671;-366;
2892;-7;46;1027;-44;23;979;976;-671;-366;
2898;-11;42;1029;-42;22;979;915;-732;-305;
2904;-15;42;1023;-42;22;979;915;-732;-305;
2910;-15;42;1033;-41;21;978;854;-671;-244;
2916;-15;41;1031;-41;21;978;854;-671;-244;
2922;-21;41;1025;-43;24;980;915;-610;-305;
2928;-11;44;1031;-44;24;981;854;-610;-305;
2934;-13;41;1031;-44;24;981;854;-671;-305;
2940;-15;46;1027;-40;25;981;854;-671;-305;
2946;-15;42;1025;-40;25;981;854;-671;-305;
2952;-15;42;1031;-41;23;978;854;-732;-366;
